User_ID,Device_ID,Login_Count,Session_Duration_Min,Activation_Count,Device_Change_Count,Location_Changes,Debug_Attempt_Flag,Subscription_Status,IP_Address,Piracy_Label
U100000,D8270,36,23,4,0,3,0,Expired,192.168.95.119,1
U100001,D1860,15,123,7,4,7,0,Active,192.168.132.31,1
U100002,D6390,19,289,5,1,0,0,Active,192.168.21.212,0
U100003,D6191,22,231,3,2,0,0,Active,192.168.120.76,0
U100004,D6734,34,216,4,0,7,0,Active,192.168.82.101,0
U100005,D7265,17,193,2,2,7,0,Active,192.168.65.4,0
U100006,D1466,12,155,8,1,7,0,Active,192.168.157.151,0
U100007,D5426,25,227,2,2,4,0,Active,192.168.185.21,0
U100008,D6578,17,132,6,2,1,1,Expired,192.168.181.187,1
U100009,D9322,10,252,7,0,1,0,Active,192.168.68.7,0
U100010,D2685,28,55,7,0,3,0,Active,192.168.75.105,0
U100011,D1769,18,195,1,0,6,0,Expired,192.168.202.46,1
U100012,D7949,18,241,8,1,5,0,Expired,192.168.205.191,1
U100013,D3433,45,26,9,3,2,0,Active,192.168.251.39,1
U100014,D6311,32,114,7,1,2,0,Active,192.168.194.215,0
U100015,D6051,14,37,8,0,7,0,Active,192.168.66.100,0
U100016,D7420,16,131,4,4,4,0,Active,192.168.245.103,1
U100017,D2184,18,48,8,2,6,1,Active,192.168.215.169,1
U100018,D5555,16,11,3,2,3,0,Active,192.168.224.32,0
U100019,D4385,17,132,1,2,4,0,Active,192.168.221.164,0
U100020,D7396,7,95,8,2,5,0,Expired,192.168.130.198,1
U100021,D9666,12,134,6,4,3,0,Active,192.168.95.70,1
U100022,D3558,34,21,9,0,1,0,Active,192.168.183.107,0
U100023,D8849,10,190,3,3,7,0,Expired,192.168.67.68,1
U100024,D3047,5,114,8,2,2,0,Active,192.168.140.177,0
U100025,D3747,21,290,9,3,0,0,Expired,192.168.250.235,1
U100026,D1189,3,167,9,1,2,0,Active,192.168.194.99,0
U100027,D3734,19,79,7,1,3,0,Active,192.168.235.47,0
U100028,D4005,45,203,3,2,7,0,Active,192.168.79.24,0
U100029,D5658,44,291,3,0,6,0,Active,192.168.39.152,0
U100030,D2899,35,186,2,4,7,0,Active,192.168.56.110,1
U100031,D8734,6,101,1,2,5,0,Active,192.168.151.230,0
U100032,D2267,14,55,2,1,2,0,Active,192.168.68.63,0
U100033,D2528,4,38,5,1,0,1,Active,192.168.243.147,1
U100034,D4556,45,25,1,3,1,0,Active,192.168.61.199,1
U100035,D4890,18,188,4,4,1,0,Active,192.168.29.89,1
U100036,D9838,29,297,1,2,3,0,Active,192.168.192.130,0
U100037,D6393,35,68,8,0,2,0,Expired,192.168.199.68,1
U100038,D9792,38,128,5,3,3,0,Active,192.168.247.239,1
U100039,D9433,16,105,4,4,2,0,Active,192.168.223.238,1
U100040,D8513,20,123,3,3,6,0,Active,192.168.229.241,1
U100041,D3612,24,82,9,0,4,0,Expired,192.168.133.108,1
U100042,D8041,35,185,6,1,3,0,Active,192.168.191.241,0
U100043,D7235,44,203,1,2,2,0,Active,192.168.231.97,0
U100044,D6486,19,194,8,2,4,1,Expired,192.168.228.10,1
U100045,D8099,4,107,2,0,6,1,Active,192.168.245.152,1
U100046,D1775,33,279,9,2,3,0,Active,192.168.227.131,0
U100047,D9226,2,134,7,2,6,0,Expired,192.168.46.229,1
U100048,D4152,13,245,3,3,1,1,Active,192.168.218.88,1
U100049,D2585,45,138,4,0,7,0,Expired,192.168.207.47,1
U100050,D4943,30,161,3,3,5,0,Active,192.168.95.184,1
U100051,D8555,34,162,6,2,4,0,Active,192.168.52.208,0
U100052,D4073,30,194,9,4,6,0,Active,192.168.200.80,1
U100053,D2021,24,104,9,4,3,0,Active,192.168.49.16,1
U100054,D4843,48,56,1,3,0,0,Active,192.168.3.241,1
U100055,D8989,44,53,6,1,5,0,Active,192.168.138.24,0
U100056,D7873,33,104,1,1,1,0,Active,192.168.238.159,0
U100057,D6675,41,255,4,0,5,0,Active,192.168.49.88,0
U100058,D1161,49,58,7,4,5,0,Active,192.168.119.88,1
U100059,D5297,10,141,4,4,4,0,Active,192.168.250.118,1
U100060,D1995,18,166,9,3,2,0,Active,192.168.87.100,1
